City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
177,Acapulco,MX,2021-11-08 05:43:34,16.8634,-99.8901,77.13,82,32,3.83
178,Mount Gambier,AU,2021-11-08 05:42:55,-37.8333,140.7667,62.51,51,90,9.22
179,Inuvik,CA,2021-11-08 05:42:53,68.3499,-133.7218,20.41,89,90,6.91
180,Chumikan,RU,2021-11-08 05:43:34,54.7183,135.315,25.23,53,0,18.43
181,Manzanillo,CU,2021-11-08 05:43:35,20.3433,-77.1167,71.29,89,72,6.78
182,Goderich,CA,2021-11-08 05:40:02,43.7501,-81.7165,46.9,87,59,5.75
183,Calama,CL,2021-11-08 05:44:35,-22.4667,-68.9333,46.89,21,0,14.97
184,Sinnamary,GF,2021-11-08 05:44:35,5.3833,-52.95,78.15,87,100,10.49
185,Ostersund,SE,2021-11-08 05:44:36,63.1792,14.6357,23.61,86,75,3.44
186,Deputatskiy,RU,2021-11-08 05:44:36,69.3,139.9,-19.84,84,10,2.55
187,Luderitz,NA,2021-11-08 05:44:36,-26.6481,15.1594,60.93,67,0,14.16
188,Novyy Urengoy,RU,2021-11-08 05:44:37,66.0833,76.6333,21.74,92,100,10.65
189,Kisangani,CD,2021-11-08 05:44:37,0.5167,25.2,73.89,86,86,1.32
190,Provideniya,RU,2021-11-08 05:44:37,64.3833,-173.3,17.71,79,90,6.71
191,Cayenne,GF,2021-11-08 05:44:03,4.9333,-52.3333,80.1,85,20,3.0
192,Henties Bay,NA,2021-11-08 05:44:38,-22.116,14.2845,53.85,79,14,10.65
193,New Norfolk,AU,2021-11-08 05:44:38,-42.7826,147.0587,67.66,35,21,4.0
194,Quang Ngai,VN,2021-11-08 05:43:28,15.1167,108.8,76.28,93,94,7.92
195,Cururupu,BR,2021-11-08 05:44:39,-1.8283,-44.8683,74.26,93,96,3.58
196,Georgetown,MY,2021-11-08 05:44:39,5.4112,100.3354,87.75,70,20,3.0
197,Hovd,MN,2021-11-08 05:44:39,48.0056,91.6419,26.89,37,0,3.18
198,East London,ZA,2021-11-08 05:44:39,-33.0153,27.9116,64.92,95,100,9.06
199,Gien,FR,2021-11-08 05:44:40,47.6933,2.6309,36.45,94,76,2.1
200,Gwanda,ZW,2021-11-08 05:44:40,-20.9333,29.0,88.77,18,7,8.12
201,Galesong,ID,2021-11-08 05:44:40,-5.3166,119.3661,87.82,70,94,6.91
202,Bria,CF,2021-11-08 05:44:41,6.5423,21.9863,71.76,88,100,2.39
203,Obidos,BR,2021-11-08 05:44:41,-1.9175,-55.5181,75.18,85,79,2.15
204,Bondues,FR,2021-11-08 05:44:41,50.702,3.095,47.66,83,0,3.44
